School Number,School Code,Name,District,ENG,NEP,MATH,SCI,SOC,HPE,TAP,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT,SEM
1,1001,BALSUBODHINI SAN MA VI MEDIBUNG PHUNGLIN,Jerusalem,16.2,51.5,21.8,25.5,30.8,33.1,60,60,0,2,7,0,9,51,15,-13.32
2,1002,BHANUJAN MA VI AMBITAR,Sharon,17.3,46.5,25.3,23.5,38.2,39.2,116,115,0,5,16,0,21,94,18.3,-9.94
3,1003,MOTI MA VI KHOKLING,Sharon,16.2,48.5,34.2,31,30.4,42.4,30,30,0,0,2,0,2,28,6.7,-19.93
4,1004,SINAM MA VI SINAM,Haifa,28.7,41.6,41.2,36.9,41.4,48.2,76,75,0,12,46,0,58,17,77.3,30.63
5,1005,GANESH MA VI KHEWANG,QrayotHaifa,23.3,44.1,31.7,28,43.6,35,27,27,0,2,7,0,9,18,33.3,-1.06
6,1006,THECHAMBU MA VI THECHAMBU,HaDarom,13.3,39.7,36.6,27.8,38.8,33.1,43,43,0,2,3,0,5,38,11.6,-15.75
7,1007,MAIWAKHOLA MA VI TEMBE,HaMerkaz,15,37.8,24.3,28.5,37.4,34,62,62,0,2,6,0,8,54,12.9,-14.71
8,1008,PRITHVI MA VI KHAMLUNG,HaZafon,21.7,47.4,44.5,35,32.9,39.5,15,15,0,0,7,1,8,7,53.3,10.56
9,1009,BHANJYANG MA VI LIMBUDIN,Golan,23.7,38.1,39.1,35.1,35.9,43.3,89,88,0,8,34,1,43,45,48.9,10.67
10,1010,NARAYANI MA VI SANGHU,Tel Aviv,12.9,34.1,23.5,27.7,34.9,34.2,35,35,0,0,3,0,3,32,8.6,-18.55
